語句,品詞,意味（小学校の単語リスト）
funny,形,おかしな
OK,間,よろしい、はい、わかった、それでは
big,形,大きい
how,副,【感嘆】なんと、なんて、どんなに
is,助,［現在進行形やbe going toを作る］
too,副,あまりに、…すぎる
well,間,②［話を切り出したり、再び始めたりして］さて、ところで、それでは
what,形,なんと、なんて
woman,名,女性、女の人
hospital,名,病院
left,副,左に［へ］、左側に
right,副,右に［へ］
museum,名,博物館、美術館
post office,名,郵便局
library,名,図書館、図書室
turn,動,向く、曲がる
cousin,名,いとこ
children,名,childの複数形
child,名,子供
country,名,国
always,副,いつも、常に
in,前,【状態】…（の状態）で
meat,名,肉
pie,名,パイ
bean,名,豆
soup,名,スープ
chicken,名,とり肉、チキン
curry,名,カレー（料理）
all,形,全ての、全部の
that,形,あの、その、例の
one,代,［前に出てきた名詞のかわりとして］1つ、1人、…なもの
get,動,…を得る、受け取る、手に入れる
clean,形,きれいな、清潔な
happy,形,幸せな、うれしい、楽しい
river,名,川
from,前,【場所】…から
help,名,援助、助け
look,動,…（のよう）に見える
time,名,時間、期間、ひま
mushroom,名,キノコ
steak,名,ステーキ
salad,名,サラダ
dessert,名,デザート
hero,名,英雄、ヒーロー
singer,名,歌手
world,名,世界
music,名,音楽
have,動,…を開く、開催する
up,副,勢いよく、元気に
went,動,goの過去形
vacation,名,休暇、休み
mountain,名,山
saw,動,seeの過去形
year,名,年、1年
meet,動,（…に）会う、…と出会う、面会する
ate,動,eatの過去形
New Year's Eve,名,大みそか
card,名,カード、はがき
clean,動,…をそうじする
New Year's Day,名,元日
future,名,未来、将来
bad,形,悪い、よくない、ひどい
tablet,名,板状の小片
had,動,haveの過去形
have,動,（ある経験）をする、（ある時）を過ごす、（病気）にかかっている
time,名,（ある経験をした）時間
down,副,下に、下がって
hotel,名,ホテル、旅館
am,動,（…に）いる、ある
fall,動,転ぶ、倒れる
take,動,（ある行動）をとる、する
the,冠,［最上級・序数などの前で］
time,名,…回、…度
this,形,今の、現在の
chorus,名,合唱
contest,名,コンテスト、コンクール
was,動/助,am、isの過去形
memory,名,思い出
practice,名,練習
can,助,【可能性】…することがあり得る
make,動,…をする、行う
album,名,アルバム
yesterday,名/副,昨日（は）
fast,副,速く
on,前,【状態】…している最中で、…中で
camping,名,キャンプ（生活）
night,名,夜、晩
event,名,出来事、行事
up,副,上へ［に］、上のほうへ、立てて
doctor,名,医者、医師
have,動,…を食べる、飲む
OK,形,よろしい、だいじょうぶ
take,動,（薬・飲み物）を飲む
sports day,名,運動会
and,接,［同じ語をandで結んで］ますます、どんどん
out,副,外へ［に］、外出して
in,前,【着用】…を身につけて、…を着て
one,形,［時を表す名詞の前に用いて］ある…
play,動,（いたずらなど）をする
think,動,…だと思う
up,副,近づいて
take,動,…を（手に）取る、…を持っていく、連れていく
tired,形,疲れた
sleepy,形,眠い
hungry,形,空腹の、飢えた
thirsty,形,のどのかわいた
weather,名,天気、天候
sunny,形,日の当たる、晴れた
cloudy,形,くもった
windy,形,風の吹く、風の強い、風の当たる
snowy,形,雪の降る
warm,形,あたたかい
cold,形,冷たい、寒い
humid,形,湿った、湿気の多い
stand,動,立つ、立っている
sit,動,すわる、すわっている
raise,動,…を上げる
pair,名,1対、1組、ペア
repeat,動,くり返し言う、くり返す
quiet,形,静かな
good,形,元気な、健康な
in,前,【方法・道具・材料】…で、…を使って
up,副,起立して、起きて
color,名,色、色彩
shape,名,形
orange,名/形,オレンジ（色の）
yellow,名/形,黄色（い）
pink,名/形,ピンク（色の）
purple,名/形,紫（色の）
circle,名,円、丸
square,名,正方形
triangle,名,三角形
rectangle,名,長方形
spring,名,春
autumn,名,秋
Dolls' Festival,名,ひな祭り
Children's Day,名,こどもの日
Star Festival,名,七夕祭り
firework,名,花火
festival,名,祭り、催し物
Halloween,名,ハロウィーン
Christmas,名,クリスマス（=Christmas Day）
bread,名,パン、食パン
sandwich,名,サンドイッチ
pizza,名,ピザ
hamburger,名,ハンバーガー
donut,名,ドーナツ
rice ball,名,おにぎり
pancake,名,パンケーキ、ホットケーキ
hot dog,名,ホットドッグ
French fries,名,フライドポテト
fried chicken,名,フライドチキン
sausage,名,ソーセージ
omelet,名,オムレツ
spaghetti,名,スパゲッティ
coffee,名,コーヒー
soda,名,ソーダ、炭酸飲料
parfait,名,パフェ
ice cream,名,アイスクリーム
shaved ice,名,かき氷
chocolate,名,チョコレート
drink,名,飲み物
vegetable,名,野菜
banana,名,バナナ
grape,名,ブドウ
kiwi fruit,名,キウイフルーツ
lemon,名,レモン
melon,名,メロン
potato,名,ジャガイモ
tomato,名,トマト
